Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 55014 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177920.1?report=genbank&log$=nucltop&blast_rank=12&RID=V0K73NV9014"",""CP177920.1"")"
"Yersinia pestis biovar Medievalis str. Harbin 35 plasmid pMT, complete sequence",Yersinia pestis biovar Medievalis str. Harbin 35,688,688,99%,0.0,99.21,99286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001610.1?report=genbank&log$=nucltop&blast_rank=13&RID=V0K73NV9014"",""CP001610.1"")"
"Yersinia pestis strain CMCCK110001 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178019.1?report=genbank&log$=nucltop&blast_rank=14&RID=V0K73NV9014"",""CP178019.1"")"
"Yersinia pestis strain F020032 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178095.1?report=genbank&log$=nucltop&blast_rank=15&RID=V0K73NV9014"",""CP178095.1"")"
"Yersinia pestis strain 6/69_pPCP1- plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166964.1?report=genbank&log$=nucltop&blast_rank=16&RID=V0K73NV9014"",""CP166964.1"")"
Yersinia pestis Pestoides G plasmid pMT sequence,Yersinia pestis Pestoides G,688,688,99%,0.0,99.21,136889,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP010248.1?report=genbank&log$=nucltop&blast_rank=17&RID=V0K73NV9014"",""CP010248.1"")"
"Yersinia pestis strain 38004 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,102302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177415.1?report=genbank&log$=nucltop&blast_rank=18&RID=V0K73NV9014"",""CP177415.1"")"
"Yersinia pestis strain N010010 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177587.1?report=genbank&log$=nucltop&blast_rank=19&RID=V0K73NV9014"",""CP177587.1"")"
"Yersinia pestis strain 197_15 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151624.1?report=genbank&log$=nucltop&blast_rank=20&RID=V0K73NV9014"",""CP151624.1"")"
"Yersinia pestis strain KIM6+ plasmid pMT, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,95328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP162312.1?report=genbank&log$=nucltop&blast_rank=21&RID=V0K73NV9014"",""CP162312.1"")"
"Yersinia pestis strain A1694 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100919,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151600.1?report=genbank&log$=nucltop&blast_rank=22&RID=V0K73NV9014"",""CP151600.1"")"
"Yersinia pestis strain 660094 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,77487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177516.1?report=genbank&log$=nucltop&blast_rank=23&RID=V0K73NV9014"",""CP177516.1"")"
"Yersinia pestis strain 9 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,107426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178034.1?report=genbank&log$=nucltop&blast_rank=24&RID=V0K73NV9014"",""CP178034.1"")"
"Yersinia pestis strain 19042 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178048.1?report=genbank&log$=nucltop&blast_rank=25&RID=V0K73NV9014"",""CP178048.1"")"
"Yersinia pestis strain 19098 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100647,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178044.1?report=genbank&log$=nucltop&blast_rank=26&RID=V0K73NV9014"",""CP178044.1"")"
"Yersinia pestis strain J070005 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177797.1?report=genbank&log$=nucltop&blast_rank=27&RID=V0K73NV9014"",""CP177797.1"")"
"Yersinia pestis strain 91_KR plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151605.1?report=genbank&log$=nucltop&blast_rank=28&RID=V0K73NV9014"",""CP151605.1"")"
"Yersinia pestis 1412 plasmid pMT, complete sequence",Yersinia pestis 1412,688,688,100%,0.0,98.96,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006779.1?report=genbank&log$=nucltop&blast_rank=29&RID=V0K73NV9014"",""CP006779.1"")"
"Yersinia pestis strain 50010 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177943.1?report=genbank&log$=nucltop&blast_rank=30&RID=V0K73NV9014"",""CP177943.1"")"
"Yersinia pestis strain 02023 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177545.1?report=genbank&log$=nucltop&blast_rank=31&RID=V0K73NV9014"",""CP177545.1"")"
"Yersinia pestis strain Shasta plasmid pMT, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009722.1?report=genbank&log$=nucltop&blast_rank=32&RID=V0K73NV9014"",""CP009722.1"")"
"Yersinia pestis strain 740371 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177489.1?report=genbank&log$=nucltop&blast_rank=33&RID=V0K73NV9014"",""CP177489.1"")"
"Yersinia pestis strain S19960127 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045637.1?report=genbank&log$=nucltop&blast_rank=34&RID=V0K73NV9014"",""CP045637.1"")"
"Yersinia pestis 8787 plasmid pMT1, complete sequence",Yersinia pestis 8787,688,688,99%,0.0,99.21,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006746.1?report=genbank&log$=nucltop&blast_rank=35&RID=V0K73NV9014"",""CP006746.1"")"
"Yersinia pestis strain 84003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177764.1?report=genbank&log$=nucltop&blast_rank=36&RID=V0K73NV9014"",""CP177764.1"")"
"Yersinia pestis strain 30026 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177642.1?report=genbank&log$=nucltop&blast_rank=37&RID=V0K73NV9014"",""CP177642.1"")"
"Yersinia pestis strain 44031 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177437.1?report=genbank&log$=nucltop&blast_rank=38&RID=V0K73NV9014"",""CP177437.1"")"
"Yersinia pestis strain CMCC640047 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178026.1?report=genbank&log$=nucltop&blast_rank=39&RID=V0K73NV9014"",""CP178026.1"")"
"Yersinia pestis strain PBM19 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009490.1?report=genbank&log$=nucltop&blast_rank=40&RID=V0K73NV9014"",""CP009490.1"")"
"Yersinia pestis strain 55003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177612.1?report=genbank&log$=nucltop&blast_rank=41&RID=V0K73NV9014"",""CP177612.1"")"
"Yersinia pestis strain 102001 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177601.1?report=genbank&log$=nucltop&blast_rank=42&RID=V0K73NV9014"",""CP177601.1"")"
"Yersinia pestis strain 20 plasmid unnamed3, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,77493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084346.1?report=genbank&log$=nucltop&blast_rank=43&RID=V0K73NV9014"",""CP084346.1"")"
"Yersinia pestis strain 91003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177381.1?report=genbank&log$=nucltop&blast_rank=44&RID=V0K73NV9014"",""CP177381.1"")"
"Yersinia pestis strain 50008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177923.1?report=genbank&log$=nucltop&blast_rank=45&RID=V0K73NV9014"",""CP177923.1"")"
"Yersinia pestis strain 80 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151608.1?report=genbank&log$=nucltop&blast_rank=46&RID=V0K73NV9014"",""CP151608.1"")"
"Yersinia pestis 1045 plasmid pMT, complete sequence",Yersinia pestis 1045,688,688,100%,0.0,98.96,101706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006796.1?report=genbank&log$=nucltop&blast_rank=47&RID=V0K73NV9014"",""CP006796.1"")"
"Yersinia pestis strain 2115 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196694.1?report=genbank&log$=nucltop&blast_rank=48&RID=V0K73NV9014"",""CP196694.1"")"
"Yersinia pestis strain AKS2022HT87_B plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155629.1?report=genbank&log$=nucltop&blast_rank=49&RID=V0K73NV9014"",""CP155629.1"")"
"Yersinia pestis strain 133 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP154818.1?report=genbank&log$=nucltop&blast_rank=50&RID=V0K73NV9014"",""CP154818.1"")"



		


